"ID","Nombre de la ocupación","Nivel","Número de Inscritos 2019","Número de Inscritos 2020","Participacion (%)  2019","Participacion (%)  2020","% Variacion    2020  vs  2019","Contribución a la variación"
"263","Chefs","Técnicos Profesionales - Tecnólogos","261","217","0.05","0.06","-1.69","-0.01"
"264","Auxiliares de vuelo y Sobrecargos","Técnicos Profesionales - Tecnólogos","30","22","0.01","0.01","-2.67","0"
"265","Tanatopractores","Técnicos Profesionales - Tecnólogos","0","0",,,,
"266","Coordinadores De Servicios Funerarios","Técnicos Profesionales - Tecnólogos","21","11","0","0","-4.76","0"
"267","Intérpretes De Lengua De Señas Colombiana - Español","Técnicos Profesionales - Tecnólogos","7","5","0","0","-2.86","0"
"268","Guías-intérpretes","Técnicos Profesionales - Tecnólogos","4","2","0","0","-5","0"
"269","Guías de Turismo","Técnicos Profesionales - Tecnólogos","416","275","0.09","0.07","-3.39","-0.03"
"270","Supervisores de Minería y Canteras","Técnicos Profesionales - Tecnólogos","23","24","0","0.01","0.43","0"
"271","Supervisores de Perforación y Servicios,Pozos de Petróleo y Gas","Técnicos Profesionales - Tecnólogos","46","51","0.01","0.01","1.09","0"
"272","Inspectores de Sistemas e Instalaciones de Gas","Técnicos Profesionales - Tecnólogos","29","20","0.01","0.01","-3.1","0"
"273","Supervisores y analistas de producción de hidrocarburos","Técnicos Profesionales - Tecnólogos",,"10",,"0","10",
"274","Supervisores de Producción Agrícola","Técnicos Profesionales - Tecnólogos","240","590","0.05","0.15","14.58","0.07"
"275","Supervisores de Producción Pecuaria","Técnicos Profesionales - Tecnólogos","196","90","0.04","0.02","-5.41","-0.02"
"276","Supervisores de Explotación Forestal y Silvicultura","Técnicos Profesionales - Tecnólogos","3","0","0",,"-10","0"
"277","Agricultores y Administradores Agropecuarios","Técnicos Profesionales - Tecnólogos","5,798","4,280","1.21","1.09","-2.62","-0.32"
"278","Contratistas de Servicios Agrícolas y Relacionados","Técnicos Profesionales - Tecnólogos","30","27","0.01","0.01","-1","0"
"279","Contratistas y Supervisores de Servicios de Jardinería y Viverismo","Técnicos Profesionales - Tecnólogos","80","131","0.02","0.03","6.38","0.01"
"280","Capitanes y Patrones de Pesca","Técnicos Profesionales - Tecnólogos","0","2",,"0","10",
"281","Contratistas y Supervisores de Ajustadores de Máquinas y Herramientas, y de Ocupaciones Relacionadas","Técnicos Profesionales - Tecnólogos","5","8","0","0","6","0"
"282","Contratistas y Supervisores de Electricidad y Telecomunicaciones","Técnicos Profesionales - Tecnólogos","60","81","0.01","0.02","3.5","0"
"283","Contratistas y Supervisores de Instalación de Tuberías","Técnicos Profesionales - Tecnólogos","14","17","0","0","2.14","0"
"284","Contratistas y Supervisores de Moldeo de Forja y Montaje de Estructuras Metálicas","Técnicos Profesionales - Tecnólogos","7","8","0","0","1.43","0"
"285","Contratistas y Supervisores de Carpintería","Técnicos Profesionales - Tecnólogos","5","13","0","0","16","0"
"286","Contratistas y Supervisores de Mecánica","Técnicos Profesionales - Tecnólogos","75","89","0.02","0.02","1.87","0"
"287","Contratistas y Supervisores de Operación de Equipo Pesado","Técnicos Profesionales - Tecnólogos","1","5","0","0","40","0"
"288","Maestros Generales de Obra y Supervisores de Construcción, Instalación y Reparación","Técnicos Profesionales - Tecnólogos","553","455","0.12","0.12","-1.77","-0.02"
"289","Supervisores de Operación de Transporte Ferroviario","Técnicos Profesionales - Tecnólogos","9","6","0","0","-3.33","0"
"290","Supervisores de Operación de Transporte Terrestre (no ferroviario)","Técnicos Profesionales - Tecnólogos","58","26","0.01","0.01","-5.52","-0.01"
"291","Supervisores de Tratamiento de Metales y Minerales","Técnicos Profesionales - Tecnólogos","4","5","0","0","2.5","0"
"292","Supervisores de Procesamiento de Químico, Petróleo, Gas y Tratamiento de Agua y Generación de Energía","Técnicos Profesionales - Tecnólogos","23","18","0","0","-2.17","0"
"293","Supervisores de Procesamiento de Alimentos, Bebidas y Tabaco","Técnicos Profesionales - Tecnólogos","106","86","0.02","0.02","-1.89","0"
"294","Supervisores de Fabricación de Productos de Plástico y Caucho","Técnicos Profesionales - Tecnólogos","5","4","0","0","-2","0"
"295","Supervisores de Procesamiento de la Madera y Producción de Pulpa y Papel","Técnicos Profesionales - Tecnólogos","1","1","0","0","0","0"
"296","Supervisores de Procesamiento Textil","Técnicos Profesionales - Tecnólogos","7","7","0","0","0","0"
"297","Inspectores de Control de Calidad, Procesamiento de Alimentos y Bebidas","Técnicos Profesionales - Tecnólogos","522","985","0.11","0.25","8.87","0.1"
"298","Supervisores de Ensamble de Vehículos de Motor","Técnicos Profesionales - Tecnólogos","29","21","0.01","0.01","-2.76","0"
"299","Supervisores de Fabricación de Productos Electrónicos","Técnicos Profesionales - Tecnólogos","2","0","0",,"-10","0"
"300","Supervisores de Fabricación de Productos Eléctricos","Técnicos Profesionales - Tecnólogos","2","1","0","0","-5","0"
"301","Supervisores de Fabricación de Muebles y Accesorios","Técnicos Profesionales - Tecnólogos","3","11","0","0","26.67","0"
"302","Supervisores de Fabricación de Productos de Tela, Cuero y Piel","Técnicos Profesionales - Tecnólogos","47","28","0.01","0.01","-4.04","0"
"303","Supervisores de Impresión y Ocupaciones Relacionadas","Técnicos Profesionales - Tecnólogos","13","88","0","0.02","57.69","0.02"
"304","Supervisores de Fabricación de Otros Productos Mecánicos y Metálicos","Técnicos Profesionales - Tecnólogos","15","12","0","0","-2","0"
"305","Supervisores de Fabricación y Ensamble de Otros Productos n.c.a","Técnicos Profesionales - Tecnólogos","2","5","0","0","15","0"
"306","Operadores de Control Central de Procesos, Tratamiento de Metales y Minerales","Técnicos Profesionales - Tecnólogos","1","3","0","0","20","0"
"307","Operadores de Procesos, Químicos, Gas y Petróleo","Técnicos Profesionales - Tecnólogos","28","9","0.01","0","-6.79","0"
"308","Operadores de Control de Procesos, Producción de Pulpa","Técnicos Profesionales - Tecnólogos","7","12","0","0","7.14","0"
"309","Operadores de Control de Procesos, Fabricación de Papel","Técnicos Profesionales - Tecnólogos","1","4","0","0","30","0"
"310","Impresores de Artes Gráficas","Técnicos Profesionales - Tecnólogos","128","110","0.03","0.03","-1.41","0"
"311","Pre-prensistas de Artes Gráficas","Técnicos Profesionales - Tecnólogos","10","36","0","0.01","26","0.01"
"312","Operarios de Terminados y Acabados de Artes Gráficas","Técnicos Profesionales - Tecnólogos","63","142","0.01","0.04","12.54","0.02"
"313","Secretarios","Calificados","1,110","1,236","0.06","0.09","1.14","0.01"
"314","Recepcionistas y Operadores de Conmutador","Calificados","436","325","0.02","0.02","-2.55","-0.01"
"315","Digitadores","Calificados","1,678","974","0.09","0.07","-4.2","-0.04"
"316","Transcriptores y Relatores","Calificados","1","3","0","0","20","0"
"317","Digitalizadores","Calificados","19","15","0","0","-2.11","0"
"318","Auxiliares Contables, de Tesorería y Financieros","Calificados","3,931","2,992","0.22","0.21","-2.39","-0.05"
"319","Cajeros de Servicios Financieros","Calificados","740","536","0.04","0.04","-2.76","-0.01"
"320","Auxiliares de servicios financieros","Calificados","220","219","0.01","0.02","-0.05","0"
"321","Auxiliares de Cartera y Cobranzas","Calificados","204","178","0.01","0.01","-1.27","0"
"322","Auxiliares de Nómina y Prestaciones","Calificados","171","153","0.01","0.01","-1.05","0"
"323","Avaluadores","Calificados","7","1","0","0","-8.57","0"
"324","Auxiliares Administrativos","Calificados","10,431","7,803","0.57","0.55","-2.52","-0.14"
"325","Auxiliares de Talento Humano","Calificados","2,408","1,566","0.13","0.11","-3.5","-0.05"
"326","Auxiliares de Tribunales","Calificados","14","8","0","0","-4.29","0"
"327","Auxiliares de Archivo y Registro","Calificados","1,374","1,876","0.08","0.13","3.65","0.03"
"329","Auxiliares de aduana","Calificados","277","259","0.02","0.02","-0.65","0"
"330","Auxiliares de Biblioteca","Calificados","41","23","0","0","-4.39","0"
"331","Auxiliares de Publicación y Afines","Calificados","15","9","0","0","-4","0"
"332","Auxiliares de Información y Servicio al Cliente","Calificados","32,574","31,362","1.79","2.23","-0.37","-0.07"
"333","Auxiliares de Estadística y Encuestadores","Calificados","162","86","0.01","0.01","-4.69","0"
"334","Auxiliares de Correo y Servicio Postal","Calificados","21","5","0","0","-7.62","0"
"335","Carteros y Mensajeros","Calificados","339","372","0.02","0.03","0.97","0"
"336","Auxiliares de Almacén","Calificados","12,482","4,365","0.68","0.31","-6.5","-0.45"
"337","Auxiliares de Compras e Inventarios","Calificados","340","290","0.02","0.02","-1.47","0"
"338","Operadores de Radio y Despachadores","Calificados","36","52","0","0","4.44","0"
"339","Programadores de Rutas y Tripulaciones","Calificados","27","34","0","0","2.59","0"
"340","Operadores Telefónicos","Calificados","13","25","0","0","9.23","0"
"341","Asistentes en Saneamiento Ambiental","Calificados","130","68","0.01","0","-4.77","0"
"342","Auxiliares de Laboratorio","Calificados","353","156","0.02","0.01","-5.58","-0.01"
"343","Auxiliares de Seguridad en el Trabajo","Calificados",,"343",,"0.02","10",
"344","Operarios de exploración geofísica y geológica","Calificados",,"10",,"0","10",
"345","Auxiliares en Automatización e Instrumentación Industrial","Calificados","228","266","0.01","0.02","1.67","0"
"346","Técnicos en Asistencia y Soporte de Tecnologías de la Información","Calificados","1,720","1,707","0.09","0.12","-0.08","0"
"347","Auxiliares en Enfermería","Calificados","2,579","2,151","0.14","0.15","-1.66","-0.02"
"348","Auxiliares de Salud oral","Calificados","313","271","0.02","0.02","-1.34","0"
"349","Auxiliares en Salud pública","Calificados","248","189","0.01","0.01","-2.38","0"
"350","Auxiliares de Laboratorio Clínico","Calificados","52","44","0","0","-1.54","0"
"351","Auxiliares de Droguería y Farmacia","Calificados","599","537","0.03","0.04","-1.04","0"
"352","Otros Auxiliares de Servicios a la Salud n.c.a.","Calificados","21","21","0","0","0","0"
"353","Auxiliares en mecánica dental","Calificados","19","11","0","0","-4.21","0"
"354","Auxiliares de educación para la primera infancia","Calificados","1,560","1,190","0.09","0.08","-2.37","-0.02"
"355","Operadores de audio y sonido","Calificados","211","24","0.01","0","-8.86","-0.01"
"356","Ejecutantes Musicales","Calificados",,"25",,"0","10",
"357","Auxiliares de Producción de Audio y Sonido","Calificados",,"80",,"0.01","10",
"358","Vendedores de Ventas no Técnicas","Calificados","27,172","20,668","1.49","1.47","-2.39","-0.36"
"359","Auxiliares de Promoción Artística","Calificados",,"42",,"0","10",
"360","Vendedores de Mostrador","Calificados","5,338","2,878","0.29","0.2","-4.61","-0.13"
"361","Mercaderistas e Impulsadores","Calificados","22,506","18,947","1.23","1.34","-1.58","-0.2"
"362","Cajeros de Comercio","Calificados","2,866","2,746","0.16","0.19","-0.42","-0.01"
"363","Modelos","Calificados","16","4","0","0","-7.5","0"
"364","Agentes de Viajes","Calificados","559","418","0.03","0.03","-2.52","-0.01"
"365","Empleados de Ventas y Servicios de Líneas Aéreas, Marítimas y Terrestres","Calificados","512","193","0.03","0.01","-6.23","-0.02"
"366","Empleados de Recepción Hotelera","Calificados","202","108","0.01","0.01","-4.65","-0.01"
"367","Informadores Turísticos","Calificados","513","123","0.03","0.01","-7.6","-0.02"
"368","Recreadores","Calificados","192","337","0.01","0.02","7.55","0.01"
"369","Operadores de Juegos Mecánicos y de Salón","Calificados","19","2","0","0","-8.95","0"
"370","Auxiliares de Producción de Eventos y Espectáculos","Calificados",,"103",,"0.01","10",
"371","Cortadores de Carne para Comercio Mayorista y al Detal","Calificados","189","272","0.01","0.02","4.39","0"
"372","Panaderos y Pasteleros","Calificados","1,054","793","0.06","0.06","-2.48","-0.01"
"373","Meseros y Capitán de Meseros","Calificados","1,696","1,035","0.09","0.07","-3.9","-0.04"
"374","Bartender","Calificados","81","29","0","0","-6.42","0"
"375","Cocineros","Calificados","601","524","0.03","0.04","-1.28","0"
"376","Baristas","Calificados","161","20","0.01","0","-8.76","-0.01"
"377","Inspectores de Policía","Calificados","4","2","0","0","-5","0"
"378","Funcionarios de Regulación","Calificados","32","42","0","0","3.13","0"
"379","Auxiliares de policía","Calificados","179","241","0.01","0.02","3.46","0"
"380","Bomberos","Calificados","28","25","0","0","-1.07","0"
"381","Guardianes de Prisión","Calificados","30","12","0","0","-6","0"
"382","Soldados","Calificados","1,826","153","0.1","0.01","-9.16","-0.09"
"383","Vigilantes y Guardias de Seguridad","Calificados","3,137","1,894","0.17","0.13","-3.96","-0.07"
"384","Técnicos Investigadores Criminalísticos y Judiciales","Calificados","21","7","0","0","-6.67","0"
"385","Acompañantes Domiciliarios","Calificados","202","144","0.01","0.01","-2.87","0"
"386","Auxiliares del Cuidado de Niños","Calificados","198","241","0.01","0.02","2.17","0"
"387","Peluqueros","Calificados","692","639","0.04","0.05","-0.77","0"
"388","Trabajadores del Cuidado de Animales","Calificados","141","128","0.01","0.01","-0.92","0"
"389","Auxiliares de Servicios Funerarios","Calificados","3","10","0","0","23.33","0"
"390","Astrólogos, Adivinadores y Relacionados","Calificados","2","0","0",,"-10","0"
"391","Manicuristas y Pedicuristas","Calificados","329","163","0.02","0.01","-5.05","-0.01"
"392","Cosmetólogos Esteticistas","Calificados","183","128","0.01","0.01","-3.01","0"
"393","Maquilladores","Calificados","66","17","0","0","-7.42","0"
"394","Operarios de Apoyo y Servicios en Minería Bajo Tierra","Calificados","35","78","0","0.01","12.29","0"
"395","Operarios de Apoyo y Servicios en Perforación de Petróleo y Gas","Calificados","793","291","0.04","0.02","-6.33","-0.03"
"396","Mineros de Producción Bajo Tierra","Calificados","167","141","0.01","0.01","-1.56","0"
"397","Perforadores de Pozos de Gas y Petróleo y Trabajadores Relacionados","Calificados","94","21","0.01","0","-7.77","0"
"398","Inspectores de Construcción de Oleoductos y Gasoductos","Calificados","4","5","0","0","2.5","0"
"399","Operadores de Equipo Minero","Calificados","55","30","0","0","-4.55","0"
"400","Operadores de producción de hidrocarburos","Calificados",,"28",,"0","10",
"401","Operarios de servicios a pozos de hidrocarburos","Calificados",,"18",,"0","10",
"402","Operarios torres de perforación de hidrocarburos","Calificados",,"9",,"0","10",
"403","Trabajadores de Explotación Forestal","Calificados","9","1","0","0","-8.89","0"
"404","Trabajadores de Silvicultura y Forestación","Calificados","72","19","0","0","-7.36","0"
"405","Trabajadores Agrícolas","Calificados","1,250","1,190","0.07","0.08","-0.48","0"
"406","Trabajadores Pecuarios","Calificados","664","910","0.04","0.06","3.7","0.01"
"407","Trabajadores de Vivero","Calificados","249","128","0.01","0.01","-4.86","-0.01"
"408","Trabajadores del Campo","Calificados","1,533","1,359","0.08","0.1","-1.14","-0.01"
"409","Trabajadores de Plantas de Incubación Artificial","Calificados","17","18","0","0","0.59","0"
"410","Rayadores de Caucho","Calificados","13","0","0",,"-10","0"
"411","Operarios de Riego Agrícola","Calificados","24","55","0","0","12.92","0"
"412","Pescadores","Calificados","79","91","0","0.01","1.52","0"
"413","Operario Acuícola","Calificados","186","191","0.01","0.01","0.27","0"
"414","Técnico Acuícola en Sistemas de Reproducción","Calificados","20","8","0","0","-6","0"
"415","Técnico Acuícola en Sistemas de Levante y Engorde","Calificados","4","4","0","0","0","0"
"416","Ajustadores de Máquinas y Herramientas","Calificados","139","187","0.01","0.01","3.45","0"
"417","Modelistas y Matriceros","Calificados","6","3","0","0","-5","0"
"418","Electricistas Industriales","Calificados","200","242","0.01","0.02","2.1","0"
"419","Electricistas Residenciales","Calificados","398","408","0.02","0.03","0.25","0"
"420","Instaladores de Redes de Energía Eléctrica","Calificados","277","178","0.02","0.01","-3.57","-0.01"
"421","Técnicos instaladores de Redes y Líneas de Telecomunicaciones","Calificados","121","57","0.01","0","-5.29","0"
"422","Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones","Calificados","522","224","0.03","0.02","-5.71","-0.02"
"423","Operarios de Mantenimiento y Servicio de Televisión por Cable","Calificados","3","8","0","0","16.67","0"
"424","Plomeros","Calificados","71","46","0","0","-3.52","0"
"425","Instaladores de Tuberías para Sistemas de Extinción de Incendios","Calificados","28","15","0","0","-4.64","0"
"426","Instaladores de Redes y Equipos a Gas","Calificados","65","162","0","0.01","14.92","0.01"
"427","Chapistas, Caldereros y Paileros","Calificados","27","23","0","0","-1.48","0"
"428","Soldadores","Calificados","751","464","0.04","0.03","-3.82","-0.02"
"429","Montadores de Estructuras Metálicas","Calificados","129","96","0.01","0.01","-2.56","0"
"430","Ornamentistas y Forjadores","Calificados","39","36","0","0","-0.77","0"
"431","Tuberos","Calificados","13","13","0","0","0","0"
"432","Carpinteros","Calificados","261","227","0.01","0.02","-1.3","0"
"433","Ebanistas","Calificados","366","69","0.02","0","-8.11","-0.02"
"434","Oficiales de Construcción","Calificados","1,349","978","0.07","0.07","-2.75","-0.02"
"435","Trabajadores en Concreto, Hormigón y Enfoscado","Calificados","7","4","0","0","-4.29","0"
"437","Techadores","Calificados","1","1","0","0","0","0"
"438","Instaladores de Material Aislante","Calificados","50","30","0","0","-4","0"
"439","Pintores y Empapeladores","Calificados","108","57","0.01","0","-4.72","0"
"440","Instaladores de Pisos","Calificados","8","2","0","0","-7.5","0"
"441","Revocadores","Calificados","10","9","0","0","-1","0"
"442","Mecánicos Industriales","Calificados","751","813","0.04","0.06","0.83","0"
"443","Mecánicos de Maquinaria Textil, confección, cuero, calzado y marroquinería","Calificados","177","78","0.01","0.01","-5.59","-0.01"
"444","Mecánicos de Equipo Pesado","Calificados","122","81","0.01","0.01","-3.36","0"
"445","Mecánicos de Aviación","Calificados","16","24","0","0","5","0"
"446","Técnicos de Aire Acondicionado y Refrigeración","Calificados","50","116","0","0.01","13.2","0"
"447","Mecánicos de Vehículos Automotores","Calificados","943","812","0.05","0.06","-1.39","-0.01"
"448","Electricistas de Vehículos Automotores","Calificados","32","91","0","0.01","18.44","0"
"449","Mecánicos de Motos","Calificados","772","562","0.04","0.04","-2.72","-0.01"
"450","Latoneros","Calificados","74","56","0","0","-2.43","0"
"451","Reparadores de Aparatos Electrodomésticos","Calificados","10","15","0","0","5","0"
"452","Mecánicos Electricistas","Calificados","177","168","0.01","0.01","-0.51","0"
"453","Auxiliares técnicos en electrónica","Calificados","893","812","0.05","0.06","-0.91","0"
"454","Mecánicos de Otros Pequeñas Máquinas y Motores","Calificados","26","10","0","0","-6.15","0"
"455","Operadores de Máquinas, Tratamiento de Metales y Minerales","Calificados","28","24","0","0","-1.43","0"
"456","Trabajadores de Fundición","Calificados","16","4","0","0","-7.5","0"
"457","Operadores de Fabricación, Moldeo y Acabado del Vidrio","Calificados","178","18","0.01","0","-8.99","-0.01"
"458","Operadores de Moldeo de Arcilla, Piedra y Concreto","Calificados","165","192","0.01","0.01","1.64","0"
"459","Inspectores de Control de Calidad, Tratamiento de Metales y Minerales","Calificados","3","1","0","0","-6.67","0"
"460","Operadores de Máquinas de Planta Química","Calificados","35","16","0","0","-5.43","0"
"461","Operadores de Máquinas para Procesamiento de Plásticos","Calificados","120","45","0.01","0","-6.25","0"
"462","Operadores de Máquinas y Trabajadores Relacionados con el Procesamiento del Caucho","Calificados","29","32","0","0","1.03","0"
"463","Operadores de Plantas de Tratamiento de Aguas y Desechos","Calificados","285","197","0.02","0.01","-3.09","0"
"464","Operadores de Máquinas para Procesamiento de la Madera","Calificados","13","11","0","0","-1.54","0"
"465","Operadores de Máquinas para la Producción de Pulpa","Calificados","0","0",,,,
"466","Operadores de Máquinas para la Fabricación de Papel","Calificados","4","1","0","0","-7.5","0"
"467","Operadores de Máquinas para la Fabricación de Productos de Papel","Calificados","7","24","0","0","24.29","0"
"468","Inspectores de Control de Calidad, Procesamiento de la Madera","Calificados","3","2","0","0","-3.33","0"
"469","Operadores de Máquinas para la Preparación de Fibras Textiles","Calificados","244","32","0.01","0","-8.69","-0.01"
"470","Operadores de Telares y Otras Máquinas Tejedoras","Calificados","60","26","0","0","-5.67","0"
"471","Operadores de Máquinas de Tintura, Acabado Textil y Prendas","Calificados","69","65","0","0","-0.58","0"
"472","Analistas de Calidad, Textiles","Calificados","65","94","0","0.01","4.46","0"
"473","Operadores de Máquinas para Coser y Bordar","Calificados","1,561","982","0.09","0.07","-3.71","-0.03"
"474","Cortadores de Tela, Cuero y Piel","Calificados","1,197","925","0.07","0.07","-2.27","-0.01"
"475","Operadores de Máquinas y Trabajadores Relacionados con la Fabricación de Calzado y Marroquinería","Calificados","265","80","0.01","0.01","-6.98","-0.01"
"476","Trabajadores del Tratamiento de Pieles y Cueros","Calificados","3","91","0","0.01","293.33","0"
"477","Inspectores de Control de Calidad, Fabricación de Productos de Tela, Piel y Cuero","Calificados","274","236","0.02","0.02","-1.39","0"
"478","Operadores de Control de Procesos y Máquinas para la Elaboración de Alimentos y Bebidas","Calificados","523","757","0.03","0.05","4.47","0.01"
"479","Operarios de Planta de Beneficio Animal","Calificados","50","602","0","0.04","110.4","0.03"
"480","Operarios de Planta de Procesamiento y Empaque de Pescado y Mariscos","Calificados","131","323","0.01","0.02","14.66","0.01"
"481","Operarios de Máquinas para la Elaboración de Productos de Tabaco","Calificados","12","4","0","0","-6.67","0"
"482","Procesadores Fotográficos y de Películas","Calificados","15","20","0","0","3.33","0"
"483","Ensambladores e Inspectores de Vehículos Automotores","Calificados","67","30","0","0","-5.52","0"
"484","Ensambladores de productos Electrónicos","Calificados","23","36","0","0","5.65","0"
"485","Ensambladores e Inspectores de Aparatos y Equipo Eléctrico","Calificados","22","52","0","0","13.64","0"
"486","Ensambladores, Fabricantes e Inspectores de Transformadores y Motores Eléctricos Industriales","Calificados","26","44","0","0","6.92","0"
"487","Ensambladores e Inspectores de Productos Mecánicos","Calificados","29","50","0","0","7.24","0"
"488","Ensambladores e Inspectores de Ensamble de Aeronaves","Calificados","6","2","0","0","-6.67","0"
"489","Operadores de Máquinas e Inspectores de la Fabricación de Productos y Componentes Eléctricos","Calificados","3","2","0","0","-3.33","0"
"490","Ensambladores e Inspectores de Embarcaciones","Calificados","0","0",,,,
"491","Ensambladores e Inspectores de Muebles y Accesorios","Calificados","23","22","0","0","-0.43","0"
"492","Operarios de Acabado de Muebles","Calificados","134","53","0.01","0","-6.04","0"
"493","Ensambladores de Productos Plásticos e Inspectores","Calificados","21","39","0","0","8.57","0"
"494","Operarios de Recubrimientos Metálicos","Calificados","6","4","0","0","-3.33","0"
"495","Pintores en Procesos de Manufactura","Calificados","64","51","0","0","-2.03","0"
"496","Otros Ensambladores e Inspectores n.c.a.","Calificados","23","17","0","0","-2.61","0"
"497","Auxiliares de Producción Gráfica","Calificados","655","520","0.04","0.04","-2.06","-0.01"
"498","Instaladores Residenciales y Comerciales","Calificados","933","806","0.05","0.06","-1.36","-0.01"
"499","Operarios de Mantenimiento de Instalaciones de Abastecimiento de Agua y Gas","Calificados","82","28","0","0","-6.59","0"
"500","Vidrieros","Calificados","6","6","0","0","0","0"
"501","Ayudantes Electricistas","Calificados","1,823","802","0.1","0.06","-5.6","-0.06"
"502","Ayudantes de Mecánica","Calificados","528","601","0.03","0.04","1.38","0"
"503","Otros Reparadores","Calificados","25","24","0","0","-0.4","0"
"504","Tapiceros","Calificados","20","18","0","0","-1","0"
"505","Sastres, Modistos, Peleteros y Sombrereros","Calificados","1,990","273","0.11","0.02","-8.63","-0.09"
"506","Zapateros y Afines","Calificados","67","37","0","0","-4.48","0"
"507","Joyeros y Relojeros","Calificados","28","64","0","0","12.86","0"
"508","Tipógrafos","Calificados","25","2","0","0","-9.2","0"
"509","Cerrajeros y afines","Calificados","5","4","0","0","-2","0"
"510","Buzos","Calificados","7","2","0","0","-7.14","0"
"511","Operadores de Máquinas Estacionarias y Equipo Auxiliar","Calificados","536","324","0.03","0.02","-3.96","-0.01"
"512","Operadores de Plantas de Generación y Distribución de Energía","Calificados","19","16","0","0","-1.58","0"
"513","Operadores de Planta de Gas","Calificados",,"11",,"0","10",
"514","Operadores de Grúa","Calificados","40","20","0","0","-5","0"
"515","Perforadores y Operarios de Voladura para Minería de Superficie de Canteras y Construcción","Calificados","29","55","0","0","8.97","0"
"516","Perforadores de Pozos de Agua","Calificados","4","2","0","0","-5","0"
"517","Operadores de Equipo Pesado (excepto grúa)","Calificados","364","434","0.02","0.03","1.92","0"
"518","Operadores de Equipo para Limpieza de Vías y Alcantarillado","Calificados","9","18","0","0","10","0"
"519","Operadores de Maquinaria Agrícola","Calificados","48","99","0","0.01","10.63","0"
"520","Maquinistas de Transporte Ferroviario","Calificados","1","1","0","0","0","0"
"521","Guardafrenos y Otros Operadores Ferroviarios","Calificados","16","3","0","0","-8.13","0"
"522","Conductores de Vehículos Pesados","Calificados","681","717","0.04","0.05","0.53","0"
"523","Conductores de Bus, Operadores de Metro y Otros Medios de Transporte Colectivo","Calificados","1,136","543","0.06","0.04","-5.22","-0.03"
"524","Conductores de Vehículos Livianos","Calificados","2,118","1,113","0.12","0.08","-4.75","-0.06"
"525","Conductores de Transporte de Alimentos","Calificados","94","130","0.01","0.01","3.83","0"
"526","Marineros de Cubierta","Calificados","22","27","0","0","2.27","0"
"527","Marineros de Sala de Máquinas","Calificados","97","4","0.01","0","-9.59","-0.01"
"528","Operadores de Pequeñas Embarcaciones","Calificados","7","33","0","0","37.14","0"
"529","Operarios de Rampa de Transporte Aéreo","Calificados","82","64","0","0","-2.2","0"
"530","Operarios Portuarios","Calificados","768","486","0.04","0.03","-3.67","-0.02"
"531","Operarios de Cargue y Descargue de Materiales","Calificados","508","564","0.03","0.04","1.1","0"
"532","Aparejadores","Calificados","46","17","0","0","-6.3","0"
"533","Operadores de Máquinas Herramientas","Calificados","124","337","0.01","0.02","17.18","0.01"
"534","Operadores de Máquinas para el Trabajo de la Madera","Calificados","39","41","0","0","0.51","0"
"535","Operadores de Máquinas para el Trabajo del Metal","Calificados","19","65","0","0","24.21","0"
"536","Operadores de Máquinas para Forja","Calificados","0","0",,,,
"537","Operadores de Máquinas de Soldadura","Calificados","96","67","0.01","0","-3.02","0"
"538","Operadores de Máquinas para la Fabricación de Otros Productos Metálicos (n.c.a)","Calificados","2","6","0","0","20","0"
"539","Operadores de Máquinas para la fabricación de Otros Productos n.c.a.","Calificados","125","43","0.01","0","-6.56","0"
"540","Trabajadores de Estación de Servicio","Elemental","154","79","0.02","0.02","-4.87","-0.01"
"541","Otras Ocupaciones Elementales de las Ventas","Elemental","16,148","969","1.99","0.19","-9.4","-1.87"
"542","Ayudantes de establecimientos de alimentos y bebidas","Elemental","7,221","6,079","0.89","1.19","-1.58","-0.14"
"543","Aseadores y Servicio Doméstico","Elemental","9,214","7,668","1.14","1.5","-1.68","-0.19"
"544","Aseadores Especializados y Fumigadores","Elemental","440","264","0.05","0.05","-4","-0.02"
"545","Recolectores de Material para Reciclaje","Elemental","38","32","0","0.01","-1.58","0"
"546","Auxiliares de Servicios a Viajeros","Elemental","47","36","0.01","0.01","-2.34","0"
"547","Auxiliares de Servicios de Recreación y Deporte","Elemental","524","172","0.06","0.03","-6.72","-0.04"
"548","Empleados de Lavandería","Elemental","46","22","0.01","0","-5.22","0"
"549","Otras Ocupaciones Elementales de los Servicios n.c.a.","Elemental","958","65","0.12","0.01","-9.32","-0.11"
"550","Auxiliares de servicios hoteleros","Elemental","479","279","0.06","0.05","-4.18","-0.02"
"551","Operarios de Cementerios","Elemental","1","4","0","0","30","0"
"552","Anfitriones Turísticos Locales","Elemental",,"29",,"0.01","10",
"553","Obreros y Ayudantes de Minería","Elemental","118","185","0.01","0.04","5.68","0.01"
"554","Obreros y Ayudantes de Producción en Pozos de Petróleo y Gas","Elemental","1,128","439","0.14","0.09","-6.11","-0.09"
"555","Obreros Agropecuarios","Elemental","2,387","3,083","0.29","0.6","2.92","0.09"
"556","Jardineros","Elemental","372","197","0.05","0.04","-4.7","-0.02"
"557","Ayudantes y Obreros de Construcción","Elemental","9,112","4,110","1.13","0.81","-5.49","-0.62"
"558","Ayudantes de Otros Oficios","Elemental","21,827","19,002","2.7","3.72","-1.29","-0.35"
